1,00:02:34.496,00:02:26.00,0.5,0,0,0:05:09  ,0:04:51  ,0:04:05  ,--,--,--,114.0,130.0,--,26
2,00:02:13.998,00:02:12.00,0.5,0,0,0:04:28  ,0:04:24  ,0:03:57  ,--,--,--,130.0,132.0,--,30
3,00:02:10.145,00:02:09.00,0.5,0,0,0:04:20  ,0:04:18  ,0:03:51  ,--,--,--,133.0,137.0,--,31
4,00:02:13.573,00:02:09.00,0.5,0,0,0:04:27  ,0:04:18  ,0:03:54  ,--,--,--,134.0,138.0,--,31
5,00:02:14.556,00:02:12.00,0.5,0,0,0:04:29  ,0:04:24  ,0:03:35  ,--,--,--,133.0,142.0,--,30
6,00:02:08.74,00:02:06.00,0.5,0,0,0:04:16  ,0:04:12  ,0:03:44  ,--,--,--,135.0,141.0,--,29
7,00:02:08.616,00:02:07.00,0.5,0,0,0:04:17  ,0:04:14  ,0:03:45  ,--,--,--,138.0,141.0,--,31
8,00:02:11.471,00:02:09.00,0.5,0,0,0:04:22  ,0:04:18  ,0:03:52  ,--,--,--,139.0,140.0,--,32
9,00:02:09.900,00:02:08.00,0.5,0,0,0:04:19  ,0:04:16  ,0:03:49  ,--,--,--,138.0,140.0,--,30
10,00:02:20.717,00:02:17.00,0.5,0,0,0:04:41  ,0:04:34  ,0:03:52  ,--,--,--,131.0,140.0,--,27
11,00:02:12.16,00:02:11.00,0.5,0,0,0:04:24  ,0:04:22  ,0:03:54  ,--,--,--,140.0,144.0,--,31
12,00:02:13.224,00:02:10.00,0.5,0,0,0:04:26  ,0:04:20  ,0:03:55  ,--,--,--,140.0,142.0,--,30
13,00:02:11.407,00:02:09.00,0.5,0,0,0:04:22  ,0:04:18  ,0:03:52  ,--,--,--,139.0,142.0,--,29
14,00:02:10.747,00:02:11.00,0.5,0,0,0:04:21  ,0:04:22  ,0:03:49  ,--,--,--,142.0,145.0,--,31
15,00:02:14.766,00:02:11.00,0.5,0,0,0:04:29  ,0:04:22  ,0:03:52  ,--,--,--,137.0,145.0,--,28
16,00:02:09.308,00:02:04.00,0.5,0,0,0:04:18  ,0:04:08  ,0:03:51  ,--,--,--,139.0,144.0,--,29
17,00:02:08.649,00:02:04.00,0.5,0,0,0:04:17  ,0:04:08  ,0:03:47  ,--,--,--,144.0,150.0,--,31
18,00:02:06.622,00:02:05.00,0.5,0,0,0:04:13  ,0:04:10  ,0:03:47  ,--,--,--,152.0,154.0,--,39
19,00:02:05.330,00:02:05.00,0.5,0,0,0:04:10  ,0:04:10  ,0:03:44  ,--,--,--,153.0,157.0,--,39
20,00:01:30.819,00:01:27.00,0.36,0,0,0:04:09  ,0:03:59  ,0:03:43  ,--,--,--,157.0,159.0,--,29
Summary,00:43:28.437,00:42:32.00,9.86,0,0,0:04:24  ,0:04:18  ,0:03:35  ,--,--,--,138.0,159.0,--,613
